fund_house,scheme_type,scheme_category,scheme_code,scheme_name
ICICI Prudential Mutual Fund,Others,Income,106976,ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120647,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120646,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,120648,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,109855,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Dividend
ICICI Prudential Mutual Fund,Others,Income,109854,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Growth
ICICI Prudential Mutual Fund,Others,Income,118235,ICICI Prudential Interval Fund II Quarterly Interval Plan C- Institutional Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,107138,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,107139,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120651,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120650,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan -  Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,120649,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan - Growth
ICICI Prudential Mutual Fund,Others,Income,110014,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Dividend
ICICI Prudential Mutual Fund,Others,Income,110013,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Growth
ICICI Prudential Mutual Fund,Others,Income,114929,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,107309,ICICI Prudential Interval Fund II - Quarterly Interval Plan F - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,107310,ICICI Prudential Interval Fund II - Quarterly Interval Plan F - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120653,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120652,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,123055,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,110384,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Dividend
ICICI Prudential Mutual Fund,Others,Income,110383,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Growth
ICICI Prudential Mutual Fund,Others,Income,115927,ICICI Prudential Interval Fund II Quarterly Interval Plan F Retail Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,110345,ICICI Prudential Interval Fund IV - Quarterly Interval Plan B - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,110348,ICICI Prudential Interval Fund IV - Quarterly Interval Plan B - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120624,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120623,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,120811,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,110346,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Growth
ICICI Prudential Mutual Fund,Others,Income,110347,ICICI Prudential Interval Fund IV Quarterly Interval Plan B -Dividend
ICICI Prudential Mutual Fund,Others,Income,115022,ICICI Prudential Interval Fund Quarterly Interval Plan - II Retail Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,110048,ICICI Prudential Interval Fund V - Monthly Interval Plan A - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,110047,ICICI Prudential Interval Fund V - Monthly Interval Plan A - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120660,ICICI Prudential Interval Fund V Monthly Interval Plan A - Direct Plan -  Dividend
