Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %
Spencer's Retail,61.4,,553.41,0,-64.14,-90.72,570.17,-8.19,-8.23,Retail,,-13.17,17.27,,58.81,-6.29,0,80.72,1876.38,9.01,-16.69,7.69,0.09,0,3,2,1.54,-10.62,58.81,-8.87,2.94,3.74,,-11.2,-7.25,,-11.79,64,2.94,49.27,30.21,8.45,0.1,2.37,0
Osia Hyper Reta.,49,48.22,505.31,0,3.7,,205.34,,17.09,Retail,4.48,2.3,1.03,9.41,58.18,6.41,0,80.72,610.21,10.31,10.95,2.25,0.51,0,4,2,1.77,3.7,58.18,7.62,21.3,3.74,,126.45,8.98,15.76,141.42,52.5,21.3,172.63,,,,,
V2 Retail,145.85,,504.49,0,6.24,320.49,263.61,24.77,3.56,Retail,2.03,-1.62,1.72,-5.08,54.26,3.94,0.7,72.97,923.09,3.46,71.8,1.94,0.23,0,5,4,1.06,3.21,53.88,2.9,0.03,2.45,,88.23,4.58,,113.1,70.88,0.03,183.94,39,6.37,-0.03,0.37,-1.54
Eastern Logica,600.1,48.6,171.07,0,2.19,,393.87,,10.92,Retail,3.22,2.51,1.2,8.01,73.59,4.93,0,80.72,234.51,0.29,186.55,12.03,0.87,0,6,3,5.02,2.64,73.59,7.94,35.38,3.74,,53.25,7.49,227.34,49,16.58,35.38,30.21,26.42,0,0,0,0
Future Retail,3,,162.69,0,-1078.19,-28.18,2786.4,87.47,-13.74,Retail,,-15.77,,-133.88,14.31,-21.3,31.14,80.72,13878.86,54.23,-20.61,1.13,0.45,0,1,3,0.31,16.75,9.85,-15.56,23.62,3.74,,235.86,-16.79,,14.93,300.27,23.62,291.58,,,,,
Archies,28.3,45.09,95.6,0,-1.37,-26.85,15.01,-21.58,1.4,Retail,0.89,-0.9,0.47,-1.54,62.25,4.26,0,80.72,145.62,3.38,31.76,0.58,0.27,0,6,3,0.47,1.69,62.25,1.52,37.62,3.74,,261.23,3.52,21.18,657.73,76.65,37.62,696.76,37.5,0.03,0.03,0.22,0
Future Lifestyle,4.4,,88.78,0,-7.53,96.27,177.61,-78.68,-72.64,Retail,,-35.23,,,20.3,-68.15,100,72.97,1638.09,20.18,-100.43,1.46,0.43,0,4,3,0.56,-2.84,0,-126757.52,25.7,2.45,,-88.81,-29.62,,-160.47,410.57,25.7,224.39,52.54,19.93,0.01,7.02,-4.81
Goblin India,52.42,118.75,72.44,0,1.71,,18.5,,6.98,Retail,2.17,1.04,0.86,2.51,39.93,3.65,0,80.72,99.24,1.38,24.2,1.6,2.29,0,6,0,0.62,2.41,39.93,6.63,203.8,3.74,,474.25,4.97,26.66,366.32,65.11,203.8,227.63,49.77,4.78,2.77,5.53,-1.11
Magson Retail,82,25.54,64.37,0,,,,,36.83,Retail,,14.42,0.35,33.58,70.06,5.98,0,80.72,66.74,0.79,,5.77,0.51,0,7,3,3.59,1.89,70.06,25.69,8.19,3.74,,34.86,19.95,,59.45,28.35,8.19,79.61,,,,,
Future Enterp.,0.85,,57.57,0,-2295.88,-192.74,473.83,-13.16,-11.69,Retail,,-17.47,2.45,-120.72,16.37,-13.47,61.44,72.97,7500.47,45.49,-5.77,2.77,0.32,0,4,0,0.22,-38.64,6.31,-17.51,268.56,2.45,,313.59,-11.97,,155.69,180.65,268.56,67.78,83.03,0.02,0,0.58,0
Bizotic Commer.,63.47,85.05,51.03,0,,,,,31.12,Retail,,2.13,2.08,64.17,70,1.53,0,80.72,53.49,0.8,,4.73,0.73,0,3,1,1.88,22.91,70,8.32,146.19,3.74,,45.72,2.19,,20.49,223.59,146.19,97.88,30,0,,0,
Heads UP Venture,12.45,,27.49,0,-0.86,46.25,0.44,51.72,-40.32,Retail,1.51,-34.1,0,-42.06,33.17,-34.21,0,72.97,25.14,2.21,8.22,1.03,6.28,5.15,5,5,0.03,1.56,33.17,-52.88,560,2.45,,7455,-40,,1048.46,220.07,560,708.53,66.41,0.42,0,0,0
Future Ent. DVR,4.8,,18.9,0,-273.23,0.62,590.41,28.57,,Retail,,,,,72.22,,0,72.97,,3.94,,,,,0,2,,,72.22,,,2.45,,,,,,,,,27.77,0,0,0,0
7NR Retail Ltd,0.62,91.37,17.36,0,0.07,-41.67,6.36,-67.13,1.76,Retail,0.58,0.69,0.07,1.18,24.67,1.9,0,80.72,18.99,28.01,1.06,5.86,2.3,0,4,1,1.38,1.16,24.67,0.83,193.6,3.74,,231.34,0.74,0.4,146.82,115.35,193.6,68.56,75.32,0,0,0,0
Mafia Trends,15.99,33.76,7.09,0,0.15,,4.32,,10.83,Retail,0.98,1.98,0.27,6.14,62.11,8.28,0,80.72,7.25,0.44,16.33,0.68,0.77,0,2,3,0.72,3.11,62.11,7.16,15.68,3.74,,212.92,4.29,13.19,226.89,323.18,15.68,534.39,37.9,0,0,0,0
Sabrimala Indus.,4.91,,4.28,0,0.11,266.67,5.57,,-4.3,Retail,0.7,-4.1,0,-4.3,0,-4.66,0,80.72,3.65,0.87,7.06,3.61,11.51,0,6,3,0.17,1.07,0,-4.39,204.27,3.74,,1845.09,-2.53,,104.5,136.27,204.27,36.5,100,0,0,0,0
Hit Kit Global,0.92,,3.4,0,0,,0.07,-41.67,0.1,Retail,0.35,0,0.01,0,9.81,0,0,80.72,3.42,3.7,2.59,,0.34,0,5,1,0.03,1.05,9.81,0.22,256.85,3.74,,-594.81,0,,256.85,,256.85,0,90.19,0,0,0,0
Mazagon Dock,1887.05,33.32,38059.91,0.48,286.62,32.07,2172.76,-2.58,38.2,Ship Building,9.11,3.69,0,28.61,84.83,6.17,0,40,24779.53,20.17,207.13,0.59,0.78,0,8,5,0.27,6.96,84.83,36.21,46.74,6.22,,-528.6,5.29,513.76,284.34,366.39,46.74,603.99,11.31,3.29,0,0.56,0.26
Cochin Shipyard,908.5,34.46,11950.44,1.54,109.41,123.7,444.14,1.01,8.5,Ship Building,2.7,3.16,0.13,6.57,72.86,6.33,0,40,7845.71,13.15,336.28,3.38,1.32,0,5,3,0.26,2.06,72.86,11.05,51.72,6.22,,-401.81,5.01,476.66,98.84,68.86,51.72,115.99,18.19,5.73,-0.55,3.21,-0.57
Garden Reach Sh.,815.75,36.7,9344.58,0.76,76.68,52.81,755.9,30.38,20.3,Ship Building,6.61,2.38,0.22,16.43,74.5,6.63,0,40,5328.88,11.46,123.42,0.79,0.73,0,7,5,0.28,6.52,74.5,18.35,7.25,6.22,,-512.68,3.28,248.45,403.84,265.78,7.25,662.38,14.93,3.11,0.43,7.46,-0.45
Knowledge Marine,1740.35,39.95,1879.75,0,23.36,,78.82,,89.07,Ship Building,14.03,50.38,0.18,99.32,67.09,3.56,0,40,1847.9,1.08,124.06,0,2.02,0,4,4,2.15,1.98,67.09,67.44,7.14,6.22,,-4.69,31.46,348.71,7.14,,7.14,,32.33,0.58,-0.04,0,0
Hariyana Ship,81.96,55.57,50.57,0,-3.47,-1635,56.46,665.04,5.13,Ship Building,0.36,1.82,0.16,2.99,74.95,8.13,0,40,63.1,0.62,230.24,1.08,0.33,0,3,5,0.24,1.61,74.95,14.46,4.73,6.22,,123.13,1.95,87.43,-58.63,687.27,4.73,623.92,25.05,0,0,0,0
Inducto Steel,37.13,,14.93,0,-0.7,-341.38,17.74,-42.25,3.52,Ship Building,0.35,0.82,0.36,1.36,69.32,8.5,43.28,40,24.35,0.4,107.16,5.84,0.64,0,3,5,1.27,1.65,39.32,5.01,9.65,6.22,,49.96,3.48,,47.04,0,9.65,37.39,30.67,0,0,0,0
Garware Marine,9.01,260,5.2,0,0,-100,0.2,-37.5,1.26,Ship Building,0.66,1.22,0,1.26,37.72,0.39,0,40,5.14,0.58,13.72,,16.16,0,5,0,0.12,1.25,37.72,2.54,1373.24,6.22,,1388.2,0.24,3.27,1373.24,,1373.24,,59.84,0,0,0,0
GE Shipping Co,768.2,4.25,10967.37,3.75,576.27,14.48,1283.69,-6.03,20.87,Shipping,1.07,16.86,0.36,26.84,30.07,26.79,0,6.35,10817.41,14.28,719.73,2.82,3.33,0,9,5,0.39,1.42,30.07,22.04,37.01,1.49,,23.2,19.06,1748.15,37.01,,37.01,,27.08,26.18,0.24,16.66,-0.38
S C I,129.3,6.97,6022.79,0.34,147.42,57.45,1200.11,-17.92,10.29,Shipping,0.95,7.45,0.41,13.32,63.75,11.95,0,6.35,8074.01,46.58,136.78,8.55,0.91,0,8,4,0.54,1.68,63.75,11.1,64.14,1.49,,17.01,8.85,238.92,64.14,,64.14,,26.36,2.89,-0.34,7.01,0
SEAMEC Ltd,638,44.72,1622.12,0.16,25.9,13.02,211.57,68.72,3.36,Shipping,2.05,2.86,0.18,3.72,72.04,2.51,0,6.35,1606.25,2.54,310.85,1.21,1.32,0,5,1,0.43,1.29,72.04,3.87,88.37,1.49,,36.26,3.79,314.6,88.37,,88.37,,25.29,2.65,-0.19,0,-0.01
Shreyas Shipping,338.3,5.96,742.91,0.44,1.31,-98.22,70.68,-52.92,18.79,Shipping,0.91,16.23,0.61,25.45,70.44,12.47,0,6.35,1213.95,2.2,372.89,0,1.05,0,5,5,0.43,1.39,70.44,17.23,4.69,1.49,,79.15,11.15,690.14,4.69,,4.69,,29.39,0.17,-0.17,0,0
Essar Shipping,14,4.16,289.77,0,26.13,129.18,10.89,-30.5,,Shipping,,-0.89,,,74.37,3.99,0,6.35,2968.32,20.7,-132.48,0,0.29,0,7,3,0.05,-0.4,74.37,242.97,79.05,1.49,,-264.89,11.32,,79.05,,79.05,,25.6,0,0,0.03,0
Seacoast Ship.,2.66,8.81,143.29,0,4.99,-50.05,99.73,7.17,38.41,Shipping,2.31,9.91,0.46,36.12,44.55,15.07,0,6.35,171.65,53.87,1.15,,1.9,0,5,5,2.15,3.22,44.55,23.49,127.68,1.49,,76.73,17.01,2.8,127.68,,127.68,0,55.44,0,0,0,0
Global Offshore,42.3,,104.61,0,-14.65,26.68,12.83,-36.01,-13.74,Shipping,2.2,-13.37,3.3,,33.28,-19.01,0,6.35,254.69,2.47,19.2,0,0.12,0,6,2,0.13,8.38,33.28,-27.54,77.06,1.49,,-281.64,-19.39,242.9,77.06,,77.06,,61.52,1.97,0.39,3.21,-0.79
Chowgule Steam,14.33,578.11,52.03,0,4.68,221.43,0.81,,,Shipping,,-2.49,,,71.73,0.62,0,6.35,62.53,3.63,-16.84,,0.2,0,2,1,0,-0.76,71.73,,,1.49,,,0.86,,,,,,28.21,0,0,0.06,0
Shahi Shipping,4.72,7.95,6.84,0,-0.06,88.46,2.51,46.78,5.86,Shipping,2.09,2.08,2.74,13.33,73.11,7.31,0,6.35,15.46,1.45,2.26,,0.53,0,8,5,0.55,6,73.11,15.5,74.74,1.49,,-93.18,5.82,5.5,74.74,,74.74,,26.9,0,0,0,0
JSW Steel,806.4,38.07,194924.66,0.42,2428,179,42213,10.84,8.41,Steel,2.97,1.84,1.23,5.64,45.4,5.77,15.03,23.12,255030.66,241.72,271.78,3.31,0.5,0,5,3,0.82,3.1,38.58,7.34,15.69,2.22,,-11.52,6.98,377.86,-4.13,149.4,15.69,129.58,17.99,25.98,-0.03,9.59,0.12
Tata Steel,127.05,75.76,155274.57,2.83,524.85,-93.27,59489.66,-6.21,12.79,Steel,1.51,2.79,0.82,7.28,33.91,6.58,1.55,23.12,226810.36,1222.15,84.34,2.38,0.29,0,3,4,0.86,2.75,33.38,6.69,12.38,2.22,,0.03,5.23,50.32,65.84,121.95,12.38,175.4,24.7,20.28,-0.34,20.96,0.28
Jindal Steel,701.1,33.61,71518.38,0.29,1691.8,20.64,12588.34,-3.5,14.42,Steel,1.85,6.75,0.34,10.6,61.19,8.18,34.26,20.67,79847.86,102.01,379.44,4.91,0.57,0,5,4,0.73,1.89,40.23,11.43,6.68,2.73,,-1.66,9.41,489.92,24.22,69.47,6.68,87,9.86,12.71,-0.71,14.74,0.84
APL Apollo Tubes,1729.5,67.1,47964.36,0.29,193.62,60.45,4544.9,32.17,26.9,Steel,15.96,12.47,0.29,23.5,30.62,2.16,0,23.12,48484.9,27.73,108.38,12.23,0.49,0,3,6,3.14,1.71,30.62,20.23,3.1,2.22,,11.06,17.87,253.53,0.05,41.58,3.1,38.53,31.59,25.07,-0.64,12.73,1.65
S A I L,96.95,28.8,40045.44,1.03,212.48,-73.59,24359.1,1.38,5.95,Steel,0.73,1.58,0.56,3.64,65,5.91,0,23.12,70268.23,413.05,132.54,2.18,0.21,0,4,3,0.83,2.29,65,4.05,18.84,2.22,,44.27,3.18,106.96,134.42,91.8,18.84,207.38,17.56,3.82,-0.87,13.63,1.23
Jindal Stain.,463.65,18.15,38178.54,0.32,737.58,48.09,10183.96,25.44,25.53,Steel,3.2,9.92,0.33,24.35,57.94,7.7,77.54,23.12,41205.9,82.34,144.9,4.22,0.61,0,5,7,1.7,1.76,13.01,15.28,37.4,2.22,,44.24,11.69,317.15,45.95,116.65,37.4,125.19,13.85,22.2,0.28,6.01,-0.14
Lloyds Metals,548.35,23.34,24391.94,0.09,403.25,52.7,1965.52,133.25,81.99,Steel,15.95,63.84,0,90.48,65.75,4.69,20.93,20.67,24131.77,44.48,34.37,2.5,1.36,0,5,6,2.35,0.93,51.99,64.7,2.67,2.73,,18.9,55.9,134.79,134.59,50.36,2.67,182.29,34.09,0.14,-0.05,0,0
Ratnamani Metals,2593.7,32.61,18179.76,0.46,134.86,54.16,1174.93,20.28,27.64,Steel,6.98,15.2,0.09,21.05,59.77,4.32,0,19.08,18382.63,7.01,371.5,2.55,1.32,0,6,5,1.33,1.29,59.77,18.94,82.33,2.19,,136.31,21.02,815.38,191.99,46.37,82.33,156.03,10.99,12.79,0.02,16.45,0.06
Shyam Metalics,481,18.32,12269.38,0.37,235.2,-43.17,3306.81,2.59,15.41,Steel,1.71,8.63,0.16,13.03,88.35,6.94,0,19.08,13258.02,25.51,280.79,4.51,0.53,0,5,4,1.29,1.37,88.35,20.22,17.49,2.19,,41.81,8.22,410.43,45.16,62.1,17.49,89.77,7.84,0.65,0,3.17,0.03
Jindal Saw,360.7,16.24,11533.53,0.83,243.48,1654.79,4410.03,26.79,10.55,Steel,1.46,2.71,0.62,6.09,63.26,10.62,0,23.12,16242.25,31.98,247.74,3.04,0.6,0,8,5,1.04,2.16,63.26,7.71,72.78,2.22,,73.67,9.66,394.02,108.64,98.01,72.78,133.86,19.05,15.92,0.98,1.18,-0.02
Usha Martin,358.15,29.6,10914.33,0.7,100.76,22.68,814.38,7.34,21.28,Steel,5.37,12.05,0.21,18.75,47.88,4.53,0,19.08,11168.88,30.47,66.64,2.34,1.21,53.99,8,2,1.13,1.43,47.88,17.3,55.84,2.19,,116.34,16.46,134.7,175.29,60.37,55.84,179.83,39.38,9.29,-0.21,3.44,1.32
Welspun Corp,338.6,24.07,8856.06,1.48,168.45,17509.47,4069.27,207.85,6.51,Steel,1.88,1.2,0.7,3.06,49.99,7.76,0,19.08,10998.86,26.15,180.21,2.25,0.37,0,2,6,0.8,2.57,49.99,4.15,42.66,2.19,,26.44,5.59,238.85,199.24,129.53,42.66,286.11,31.28,7.78,0.51,10.96,-0.47
Godawari Power,621.55,12.63,8760.44,0.64,230.88,-33.52,1325.58,-20.45,28.08,Steel,2.24,16.01,0.08,22.29,67.68,11.67,0,19.08,8276.83,14.09,277.09,4.43,1.55,8.49,6,5,1.14,1.29,67.68,22.12,18.79,2.19,,53.3,18.72,555.34,49.84,56.88,18.79,87.93,27.57,3.64,0.25,1.11,0.05
Sarda Energy,241.75,14.28,8518.82,0.31,172.41,0.61,1052.12,-16.57,19.81,Steel,2.5,11.21,0.41,18.78,72.64,9.44,0,19.08,9553.73,35.24,96.77,3.72,2.02,0,7,5,0.78,1.58,72.64,14.71,15.77,2.19,,127.13,16.46,193.04,102.43,19.7,15.77,106.36,21.04,2.55,0.11,3.76,0
Mishra Dhatu Nig,411.25,49.16,7704.36,0.41,18.54,4.75,187.72,63.33,14.99,Steel,5.99,5.52,0.38,12.59,74,3.05,0,19.08,8178.59,18.73,68.66,0.14,0.65,0,3,3,0.31,2.19,74,7.59,132.19,2.19,,530.86,8.72,113.67,2520.29,357,132.19,2745.1,11.93,0.95,0.37,13.11,-0.71
Mah. Seamless,559.1,7.45,7491.9,0.89,206.62,48.06,1222.94,-8.35,19.82,Steel,1.57,13.66,0.05,17.47,67.8,12.93,0,19.08,7679.92,13.4,356.27,2.77,2.07,0,9,5,1.02,1.18,67.8,19.11,41.02,2.19,,134.99,16.95,775.47,159.52,29.02,41.02,147.52,22.05,5.96,3.12,4.18,0.26
Kirl. Ferrous,479.1,17.08,6659.38,1.15,92.93,-20.9,1502.47,0.58,23.39,Steel,3.18,8.02,0.46,20.27,56.61,9.67,0,16.38,7567.95,13.9,150.69,4.1,0.55,0,6,4,1.19,2.58,56.61,12.87,46.51,1.62,,43.2,13.35,308.48,51.13,101.84,46.51,106.45,30.98,1.7,0.09,10.72,0.17
Surya Roshni,976.15,14.27,5311.13,0.72,59.07,167.53,1875.13,1.94,22.81,Steel,2.85,10.87,0.22,19.68,62.96,9.57,0,23.12,5728.22,5.44,342.03,5.89,0.86,0,8,5,2.59,1.66,62.96,15.87,33.99,2.22,,64.18,17.96,725.63,78.05,24.03,33.99,68.09,30.63,4.87,2.33,0.45,0.21
Technocraf.Inds.,2099.8,17.16,4821.5,0,90.64,25.72,556.51,3.3,19.91,Steel,3.41,12.27,0.46,19.15,74.61,7.95,0,19.08,5296.22,2.3,616.6,1.19,0.88,67.69,3,5,0.89,1.58,74.61,16.99,77.18,2.19,,207.29,17.81,1281.88,373.53,66.47,77.18,362.81,20.68,0.6,-0.17,4.1,-0.43
Jai Balaji Inds.,283.85,20.7,4273.37,0,170.43,681.07,1482.56,-0.81,18.28,Steel,7.43,4.43,1.55,,58.73,6.74,57.26,20.67,5082.25,15.06,38.23,5.79,0.31,0,8,4,2.07,5.33,25.1,14.89,13.66,2.73,,-11.57,11.57,109.72,7.08,76.31,13.66,69.73,39.83,0.09,0.09,0.05,0.05
Rajratan Global,744.55,48.45,3780.15,0.27,12.43,-64.01,203.85,-18.92,27.04,Steel,8.6,14.77,0.39,25.66,65.1,3.04,0,19.08,3938.34,5.08,86.54,7.35,0.82,0,4,3,1.32,1.54,65.1,24.6,55.57,2.19,,49.6,16.18,172.98,49.82,62.87,55.57,57.12,25.95,0.68,0.06,8.28,0.25
Sunflag Iron,204.6,16.74,3687.29,0,25.86,-13.2,784.46,-12.5,11.87,Steel,1.1,5.57,0.18,8.78,51.16,9.04,0,19.08,4178.4,18.02,185.45,3,0.59,0,7,5,0.87,1.2,51.16,12.39,32.99,2.19,,57.78,7.64,225.85,82.52,92.54,32.99,142.07,48.07,0.73,-0.15,0.05,0.01
Tata Steel Long,811.85,,3661.44,1.54,-254.18,,3568.24,,,Steel,3.82,,15.4,,74.91,-6.51,0,20.67,17338.7,4.51,212.46,,0.77,,1,5,,,74.91,-5.81,7.95,2.73,,16.08,-5.08,,-24.38,164.24,7.95,131.91,19.24,1.16,0.45,4.68,-0.01
JTL Industries,417.75,34.07,3528.2,0.02,25.37,110.19,504.8,37.16,34.58,Steel,8.65,20.19,0.13,30.07,56.2,4.19,0,19.08,3528.03,8.45,48.27,9.47,2.08,10.03,5,6,3.44,1.11,56.2,22.45,32.9,2.19,,72.51,26.31,121.4,70.3,7.67,32.9,45.08,42.39,0.72,0.2,0.7,-0.71
Venus Pipes,1535.25,59.34,3115.96,0.03,17.41,91.11,179.61,58.11,22.79,Steel,9.67,11.71,0.28,19.62,48.2,2.57,0,19.08,3180.44,2.03,158.75,3.41,0.99,0,3,6,1.46,1.17,48.2,17.69,46.58,2.19,,135.59,16.08,304,122.79,60.84,46.58,137.05,36.57,6.49,0.73,8.73,0.08
Tata Metaliks,952.65,35.86,3008.23,0.52,4.55,272.95,650.46,-2.39,7.91,Steel,1.9,3.31,0.09,5.18,60.03,4.66,0,16.38,3047.34,3.16,500.19,4.31,0.64,0,6,5,1.34,1.54,60.03,7.15,34.06,1.62,,24.25,5.67,546.79,40.33,87.8,34.06,94.07,28.93,3.53,-0.66,6.72,-0.09
Mukand,185.95,15.14,2686.89,1.08,30.94,22.58,1384.36,-5.47,-8.29,Steel,3.15,-11.55,1.74,-50.56,74.7,8.27,0,23.12,4144.09,14.45,59.09,2.81,0.96,8.77,5,3,1.66,3.9,74.7,-10.13,30.35,2.22,,100.55,10.79,127.79,124.63,49.9,30.35,144.19,23.72,0.06,-0.08,1.52,-0.58
ISMT,80.95,22.22,2432.56,0,40.67,102.34,657.36,5.59,10.78,Steel,1.65,4.5,0.06,6.13,74.95,8.95,0,19.08,2488.03,30.05,49.18,3.94,0.98,0,9,5,1.32,1.32,74.95,6.42,43.62,2.19,,73.27,11.47,63.15,114.82,54.66,43.62,125.86,24.76,0.02,-0.01,0.28,0.17
Gallantt Ispat L,92.8,15.22,2239.09,0,30.71,25.14,1036.17,1.48,10.21,Steel,1.01,5,0.24,6.54,68.78,9.62,0.32,19.08,2765.51,24.13,92.22,8.7,1.04,0,4,5,1.43,1.27,68.56,6.23,12.43,2.19,,79.88,9.02,112.46,52.88,7.06,12.43,47.52,31.19,0.01,0,0,0
Kalyani Steels,499.4,10.65,2180.38,2,61.25,159.2,496.84,0.79,13.29,Steel,1.46,7.08,0.34,11.66,64.7,15.76,0,19.08,1937.25,4.37,341.21,4.68,1.91,0,3,5,0.81,1.58,64.7,10.18,77.77,2.19,,94.4,12.99,599.93,96.91,80.63,77.77,99.77,23.18,2.85,-0.04,9.26,0.22
Prakash Industri,119.8,9.06,2145.4,0,89.41,107.21,1013.28,13.15,7.89,Steel,0.73,4.67,0.2,6.61,44.11,12.94,58.62,19.08,2446.75,17.91,164.94,7.6,0.63,0,6,7,0.84,1.38,18.25,7.85,10.27,2.19,,6.37,7.45,221.5,26.13,29.57,10.27,45.42,52.29,3.57,0.15,0.03,0
Aeroflex,165,65.74,2133.79,0,,,,,34.56,Steel,,16.33,0.39,32.38,66.99,2.26,0,19.08,2172.62,12.93,,3.76,1.25,0,6,2,1.35,1.74,66.99,22.91,90.73,2.19,,128.11,22.97,,132.32,78.61,90.73,120.21,,,,,
Welspun Special.,39.03,385.28,2068.94,0,11.14,239.95,162.83,99.16,6.04,Steel,70.44,-3.25,4.71,-26.39,55.17,1.7,0,19.08,2284.76,53.01,0.55,1.9,0.3,0,7,4,0.98,9.22,55.17,6.33,36.1,2.19,,46.4,8.17,1.12,33.75,291.29,36.1,288.95,44.8,0.02,0,0,0
Rama Steel Tubes,38.8,61.95,1914.22,0.05,7.46,67.14,312.52,30.21,15.59,Steel,7.23,5.21,0.77,14.16,59.9,3.01,0,19.08,2094.39,49.34,5.37,8.34,0.86,0,2,4,2.54,2.11,59.9,10.65,63.52,2.19,,78.51,9.08,8.97,57.99,63.35,63.52,57.82,37.53,1.88,-0.86,0.69,0.02
JSW Ispat Speci.,39,,1831.24,0,-53.23,49.47,1676.15,0.7,-2.65,Steel,3.93,-7.83,3.21,-35.88,53.17,-0.95,81.13,20.67,4735.17,46.95,9.93,3.68,0.48,0,2,4,0.95,5.5,10.03,-2.72,44.75,2.73,,47.9,-0.78,,40.37,121.41,44.75,117.03,33.34,8.92,1.25,4.59,-0.14
Vardhman Special,216.45,19.82,1758.76,0.81,18.57,-38.71,409.36,-12.75,20.22,Steel,2.74,10.3,0.22,16.78,60.71,7.21,0,19.08,1893,8.13,78.99,3.86,1.05,0,4,4,1.78,1.52,60.71,14.75,55.02,2.19,,98.29,13.24,139.39,113.31,61.06,55.02,119.35,37.03,1.22,0.08,1.06,0.03
Hariom Pipe,630.4,33.41,1740.89,0,15.44,61.84,240.12,68.73,17,Steel,4.64,9.99,0.79,19.31,60.91,4.28,0,19.08,1932.3,2.76,135.85,3.17,1.07,0,2,6,1.39,1.23,60.91,10.12,48.83,2.19,,166.01,11.65,243.9,207.36,13.2,48.83,171.73,36.86,2.22,-0.3,0,-0.18
Salasar Techno,54.05,39.3,1706.39,0.19,10.15,38.71,261.86,24.3,14.32,Steel,4.26,5.1,0.68,11.91,63.07,4.72,0,19.08,1958.39,31.57,12.69,-0.32,0.95,0,5,5,1.26,1.99,63.07,9.99,119.8,2.19,,163.35,10.12,19.71,119.8,,119.8,,27.87,9.04,0.01,0,-0.03
Bharat Wire,241.2,22.19,1640.22,0,23.72,97.01,158.39,19.29,16.25,Steel,9.23,8.01,0.32,12.3,39.87,7.43,44.62,19.08,1813.18,6.8,26.14,3.99,2.28,0,8,6,0.76,1.39,22.08,10.6,29.54,2.19,,144.11,17.25,81.02,131.94,19.79,29.54,122.2,55.89,1.06,-0.37,3.2,-0.41
Goodluck India,577.9,16.54,1575.14,0.35,28.59,41.32,858.02,4.34,16.34,Steel,2.54,6.38,0.97,16.02,58.73,9.36,0,19.08,2161.01,2.73,227.14,4.73,0.7,0,5,5,2.26,2.2,58.73,11.12,41.69,2.19,,94.51,13.76,424.8,105.54,20.79,41.69,84.65,41.22,0.05,-0.02,0,-0.04
Pennar Industrie,111.15,18.15,1499.93,0,21.81,54.9,748.89,6.99,13.34,Steel,1.93,3.38,0.88,9.97,39.74,10.27,0,19.08,2012.58,13.49,57.65,2.53,0.52,0,9,4,1.3,2.87,39.74,10.47,45.83,2.19,,62.47,8.92,89.4,86.1,118.32,45.83,158.59,56.01,4.25,-0.61,0,-0.03
Sat Industries,114.85,13.69,1298.78,0.17,70.34,511.61,129.98,10.89,18.72,Steel,4.97,9.65,0.4,17.17,51.59,10.31,0,19.08,1356.93,11.31,23.11,4.6,1.72,0,4,4,1.07,1.66,51.59,12.49,83.8,2.19,,174.76,28.53,66.56,121.04,60.8,83.8,98.04,46.44,1.97,1.09,0,0
Raghav Product.,539.35,47.67,1237.95,0.09,5.95,2.23,30.17,-9.83,28.46,Steel,9.22,18.08,0,21.14,62.92,2.87,0,19.08,1236.75,2.3,58.52,2.97,2.84,0,7,3,0.97,1.06,62.92,38.26,97.87,2.19,,112.39,23.33,123.57,155.04,97.92,97.87,155.09,37.05,0.03,0.03,0,0
Beekay Steel Ind,622.65,12.16,1187.52,0.16,39.6,-22.08,268.56,-19.88,15.47,Steel,1.46,10.05,0.3,14.42,71.5,9.67,0,19.08,1428.8,1.91,425.14,3.26,2.34,0,6,3,1.04,1.34,71.5,15.11,56.79,2.19,,167.96,12.3,699.91,159.22,18.1,56.79,120.53,28.49,0,0,0,0
Man Industries,179.05,15.51,1076.15,1.12,11.21,13.92,490.42,-3.93,11.42,Steel,1.07,3.83,0.3,6.99,45.69,11.93,29.61,19.08,1204.95,6.01,167.08,8.07,1.45,0,2,3,1.26,1.77,32.16,9.56,80.8,2.19,,61.36,8.32,208.3,35.72,69.94,80.8,24.87,52.05,2.22,0.62,0.04,-0.19
Hi-Tech Pipes,77.15,21.87,1009.21,0.06,8.02,79.02,642.17,24.41,14.06,Steel,2.36,5.06,0.56,12.59,55.58,7.73,2.19,19.08,1223.15,13.08,32.71,7.68,0.65,2.16,6,7,2.83,2.01,54.36,11.52,28.38,2.19,,44.88,10.32,49.04,50.64,29.24,28.38,51.5,38.65,0.81,-0.25,4.97,-0.11
