Company Name,Count,Percentage Allocation,Asset Type,Symbol
Dalmia Bharat Ltd.,2,3.13,Equity,DALBHARAT
ACC Ltd.,2,3.1100000000000003,Equity,ACC
Voltas Ltd.,7,3.1,Equity,VOLTAS
V-Mart Retail Ltd.,3,3.1,Equity,VMART
One 97 Communications Ltd.,3,3.09,Equity,ADANIPORTS
Indian Renewable Energy Development Agency (Ireda),6,3.06,Equity,IOC
Power Mech Projects Ltd.,2,3.05,Equity,POWERGRID
Zydus Lifesciences Ltd.,3,3.02,Equity,ZYDUSLIFE
Piramal Enterprises Ltd.,3,3.02,Equity,PEL
Cholamandalam Financial Holdings Ltd.,4,3.02,Equity,CHOLAFIN
Jamna Auto Industries Ltd.,3,2.99,Equity,JAMNAAUTO
Vijaya Diagnostic Centre Ltd.,4,2.96,Equity,VIJAYA
Narayana Hrudayalaya Ltd.,2,2.91,Equity,NH
Global Health Ltd.,2,2.9,Equity,MEDANTA
Aptus Value Housing Finance India Ltd.,2,2.9,Equity,APTUS
Schaeffler India Ltd.,3,2.89,Equity,SCHAEFFLER
Anand Rathi Wealth Ltd.,1,2.85,Equity,ANANDRATHI
Grindwell Norton Ltd.,4,2.84,Equity,GRINDWELL
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),4,2.83,Equity,ASTRAL
Aegis Logistics Ltd.,2,2.82,Equity,AEGISCHEM
Century Plyboards Ltd.,3,2.82,Equity,CENTURYPLY
RHI Magnesita India Ltd.,4,2.8000000000000003,Equity,RHIM
IRB Infrastructure Developers Ltd.,1,2.75,Equity,IRB
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),2,2.75,Equity,COROMANDEL
Britannia Industries Ltd.,4,2.74,Equity,BRITANNIA
Dabur India Ltd.,3,2.74,Equity,DABUR
Jyothy Labs Ltd.,2,2.74,Equity,JYOTHYLAB
Barbeque Nation Hospitality Ltd.,3,2.71,Equity,BARBEQUE
DCB Bank Ltd.,4,2.71,Equity,DCBBANK
Kansai Nerolac Paints Ltd.,3,2.68,Equity,KANSAINER
Orient Electric Ltd.,3,2.68,Equity,ORIENTELEC
Avalon Technologies Ltd,4,2.66,Equity,
SAI Silks (Kalamandir) Ltd.,4,2.64,Equity,KANSAINER
S.J.S. Enterprises Ltd.,3,2.63,Equity,SJS
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),3,2.62,Equity,IDFCFIRSTB
eClerx Services Ltd.,3,2.62,Equity,ECLERX
Lemon Tree Hotels Ltd.,2,2.6100000000000003,Equity,LEMONTREE
ITD Cementation India Ltd.,1,2.61,Equity,ITDCEM
Shoppers Stop Ltd.,3,2.61,Equity,SHOPERSTOP
Eris Lifesciences Ltd.,2,2.6,Equity,ERIS
PB Fintech Ltd.,3,2.6,Equity,POLICYBZR
IDFC Ltd.,2,2.59,Equity,IDFCFIRSTB
Gujarat Gas Ltd.,3,2.56,Equity,FLUOROCHEM
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),2,2.56,Equity,PCBL
TTK Prestige Ltd.,1,2.56,Equity,TTKPRESTIG
Bajaj Finserv Ltd.,2,2.54,Equity,BAJFINANCE
Tata Power Company Ltd.,2,2.51,Equity,TCS
TVS Holdings Ltd.,2,2.5,Equity,TVSMOTOR
Titagarh Railsystems Ltd.,1,2.49,Equity,TWL
Deepak Nitrite Ltd.,2,2.47,Equity,DEEPAKNTR
Eicher Motors Ltd.,3,2.44,Equity,EICHERMOT
Syrma SGS Technology Ltd.,2,2.43,Equity,SYRMA
Vinati Organics Ltd.,2,2.42,Equity,VINATIORGA
