Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund House,Type,Sub-Category,Category
Consumer Services,,16.58%,Nippon India ETF S&P BSE Sensex Next 50,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,11.76%,Nippon India ETF S&P BSE Sensex Next 50,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Capital Goods,,9.03%,Nippon India ETF S&P BSE Sensex Next 50,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Chemicals,,6.98%,Nippon India ETF S&P BSE Sensex Next 50,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Financial Services,,39.12%,Nippon India ETF S&P BSE Sensex,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,15.04%,Nippon India ETF S&P BSE Sensex,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
"Oil, Gas & Consumable Fuels",,10.81%,Nippon India ETF S&P BSE Sensex,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,8.98%,Nippon India ETF S&P BSE Sensex,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Automobile and Auto Components,,5.36%,Nippon India ETF S&P BSE Sensex,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Sovereign,,97.07%,Nippon India Fixed Horizon Fund 41 - Series 8,Nippon India Mutual Fund,Close Ended,FMP,Debt
Current Assets,,2.93%,Nippon India Fixed Horizon Fund 41 - Series 8,Nippon India Mutual Fund,Close Ended,FMP,Debt
Miscellaneous,,-,Nippon India Fixed Horizon Fund 41 - Series 8,Nippon India Mutual Fund,Close Ended,FMP,Debt
Sovereign,,96.25%,Nippon India Fixed Horizon Fund 43 - Series 1,Nippon India Mutual Fund,Close Ended,FMP,Debt
Current Assets,,3.75%,Nippon India Fixed Horizon Fund 43 - Series 1,Nippon India Mutual Fund,Close Ended,FMP,Debt
Miscellaneous,,-,Nippon India Fixed Horizon Fund 43 - Series 1,Nippon India Mutual Fund,Close Ended,FMP,Debt
Sovereign,,96.61%,Nippon India Fixed Horizon Fund 43 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Current Assets,,3.39%,Nippon India Fixed Horizon Fund 43 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Miscellaneous,,-,Nippon India Fixed Horizon Fund 43 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Sovereign,,96.92%,Nippon India Fixed Horizon Fund 44 - Series 1,Nippon India Mutual Fund,Close Ended,FMP,Debt
Current Assets,,3.08%,Nippon India Fixed Horizon Fund 44 - Series 1,Nippon India Mutual Fund,Close Ended,FMP,Debt
Miscellaneous,,-,Nippon India Fixed Horizon Fund 44 - Series 1,Nippon India Mutual Fund,Close Ended,FMP,Debt
Sovereign,,99.84%,Nippon India Fixed Horizon Fund 45 - Series 4,Nippon India Mutual Fund,Close Ended,FMP,Debt
Current Assets,,0.16%,Nippon India Fixed Horizon Fund 45 - Series 4,Nippon India Mutual Fund,Close Ended,FMP,Debt
Miscellaneous,,-,Nippon India Fixed Horizon Fund 45 - Series 4,Nippon India Mutual Fund,Close Ended,FMP,Debt
Financial Services,,55.65%,Nippon India Fixed Horizon Fund 45 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Power,,11.18%,Nippon India Fixed Horizon Fund 45 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Realty,,8.72%,Nippon India Fixed Horizon Fund 45 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Consumer Services,,7.31%,Nippon India Fixed Horizon Fund 45 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Diversified,,5.49%,Nippon India Fixed Horizon Fund 45 - Series 5,Nippon India Mutual Fund,Close Ended,FMP,Debt
Financial Services,,30.76%,Nippon India Flexi Cap Fund,Nippon India Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Capital Goods,,8.49%,Nippon India Flexi Cap Fund,Nippon India Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Information Technology,,7.96%,Nippon India Flexi Cap Fund,Nippon India Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Consumer Services,,7.75%,Nippon India Flexi Cap Fund,Nippon India Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Fast Moving Consumer Goods,,7.30%,Nippon India Flexi Cap Fund,Nippon India Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Financial Services,,35.79%,Nippon India Focused Equity Fund,Nippon India Mutual Fund,Open Ended,Focused Fund,Equity
Information Technology,,11.36%,Nippon India Focused Equity Fund,Nippon India Mutual Fund,Open Ended,Focused Fund,Equity
Consumer Services,,10.49%,Nippon India Focused Equity Fund,Nippon India Mutual Fund,Open Ended,Focused Fund,Equity
Capital Goods,,7.61%,Nippon India Focused Equity Fund,Nippon India Mutual Fund,Open Ended,Focused Fund,Equity
Automobile and Auto Components,,6.74%,Nippon India Focused Equity Fund,Nippon India Mutual Fund,Open Ended,Focused Fund,Equity
Sovereign,,96.40%,Nippon India Gilt Securities Fund,Nippon India Mutual Fund,Open Ended,Gilt Fund,Debt
Current Assets,,3.56%,Nippon India Gilt Securities Fund,Nippon India Mutual Fund,Open Ended,Gilt Fund,Debt
Miscellaneous,,0.04%,Nippon India Gilt Securities Fund,Nippon India Mutual Fund,Open Ended,Gilt Fund,Debt
Mutual Funds,,99.96%,Nippon India Gold Savings Fund,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.04%,Nippon India Gold Savings Fund,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,-,Nippon India Gold Savings Fund,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Financial Services,,23.95%,Nippon India Growth Fund,Nippon India Mutual Fund,Open Ended,Mid Cap Fund,Equity
Capital Goods,,13.04%,Nippon India Growth Fund,Nippon India Mutual Fund,Open Ended,Mid Cap Fund,Equity
Healthcare,,11.09%,Nippon India Growth Fund,Nippon India Mutual Fund,Open Ended,Mid Cap Fund,Equity
Consumer Services,,8.27%,Nippon India Growth Fund,Nippon India Mutual Fund,Open Ended,Mid Cap Fund,Equity
Automobile and Auto Components,,7.27%,Nippon India Growth Fund,Nippon India Mutual Fund,Open Ended,Mid Cap Fund,Equity
Financial Services,,43.11%,Nippon India Hybrid Bond Fund,Nippon India Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Realty,,9.99%,Nippon India Hybrid Bond Fund,Nippon India Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Sovereign,,6.41%,Nippon India Hybrid Bond Fund,Nippon India Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Power,,5.63%,Nippon India Hybrid Bond Fund,Nippon India Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Current Assets,,5.40%,Nippon India Hybrid Bond Fund,Nippon India Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Sovereign,,79.51%,Nippon India Income Fund,Nippon India Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Current Assets,,12.33%,Nippon India Income Fund,Nippon India Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Telecommunication,,6.02%,Nippon India Income Fund,Nippon India Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Financial Services,,1.89%,Nippon India Income Fund,Nippon India Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Mutual Funds,,0.23%,Nippon India Income Fund,Nippon India Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Financial Services,,35.30%,Nippon India Index Fund - Nifty 50 Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,13.63%,Nippon India Index Fund - Nifty 50 Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,11.41%,Nippon India Index Fund - Nifty 50 Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,9.17%,Nippon India Index Fund - Nifty 50 Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,6.49%,Nippon India Index Fund - Nifty 50 Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,39.12%,Nippon India Index Fund - S&P BSE Sensex Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,15.04%,Nippon India Index Fund - S&P BSE Sensex Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,10.81%,Nippon India Index Fund - S&P BSE Sensex Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,9.00%,Nippon India Index Fund - S&P BSE Sensex Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,5.36%,Nippon India Index Fund - S&P BSE Sensex Plan,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,26.16%,Nippon India Innovation Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Consumer Services,,18.15%,Nippon India Innovation Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,18.08%,Nippon India Innovation Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,10.57%,Nippon India Innovation Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Fast Moving Consumer Goods,,6.29%,Nippon India Innovation Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Sovereign,,94.09%,Nippon India Interval Fund - Annual Series I,Nippon India Mutual Fund,Interval,FMP,Debt
Current Assets,,5.91%,Nippon India Interval Fund - Annual Series I,Nippon India Mutual Fund,Interval,FMP,Debt
Miscellaneous,,-,Nippon India Interval Fund - Annual Series I,Nippon India Mutual Fund,Interval,FMP,Debt
Current Assets,,99.96%,Nippon India Interval Fund - Monthly Series I,Nippon India Mutual Fund,Interval,FMP,Debt
Miscellaneous,,0.04%,Nippon India Interval Fund - Monthly Series I,Nippon India Mutual Fund,Interval,FMP,Debt
Current Assets,,99.96%,Nippon India Interval Fund - Monthly Series II,Nippon India Mutual Fund,Interval,FMP,Debt
Miscellaneous,,0.04%,Nippon India Interval Fund - Monthly Series II,Nippon India Mutual Fund,Interval,FMP,Debt
Current Assets,,99.96%,Nippon India Interval Fund - Quarterly Series I,Nippon India Mutual Fund,Interval,FMP,Debt
Miscellaneous,,0.04%,Nippon India Interval Fund - Quarterly Series I,Nippon India Mutual Fund,Interval,FMP,Debt
Mutual Funds,,64.68%,Nippon India Interval Fund - Quarterly Series II,Nippon India Mutual Fund,Interval,FMP,Debt
Financial Services,,21.23%,Nippon India Interval Fund - Quarterly Series II,Nippon India Mutual Fund,Interval,FMP,Debt
Sovereign,,10.70%,Nippon India Interval Fund - Quarterly Series II,Nippon India Mutual Fund,Interval,FMP,Debt
Current Assets,,3.38%,Nippon India Interval Fund - Quarterly Series II,Nippon India Mutual Fund,Interval,FMP,Debt
Miscellaneous,,0.02%,Nippon India Interval Fund - Quarterly Series II,Nippon India Mutual Fund,Interval,FMP,Debt
Current Assets,,99.97%,Nippon India Interval Fund - Quarterly Series III,Nippon India Mutual Fund,Interval,FMP,Debt
Miscellaneous,,0.03%,Nippon India Interval Fund - Quarterly Series III,Nippon India Mutual Fund,Interval,FMP,Debt
Capital Goods,,22.19%,Nippon India Japan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,15.70%,Nippon India Japan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Consumer Durables,,9.88%,Nippon India Japan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Chemicals,,9.62%,Nippon India Japan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Fast Moving Consumer Goods,,9.50%,Nippon India Japan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,37.29%,Nippon India Large Cap Fund,Nippon India Mutual Fund,Open Ended,Large Cap Fund,Equity
Fast Moving Consumer Goods,,9.44%,Nippon India Large Cap Fund,Nippon India Mutual Fund,Open Ended,Large Cap Fund,Equity
Consumer Services,,7.85%,Nippon India Large Cap Fund,Nippon India Mutual Fund,Open Ended,Large Cap Fund,Equity
"Oil, Gas & Consumable Fuels",,7.07%,Nippon India Large Cap Fund,Nippon India Mutual Fund,Open Ended,Large Cap Fund,Equity
Power,,6.59%,Nippon India Large Cap Fund,Nippon India Mutual Fund,Open Ended,Large Cap Fund,Equity
Financial Services,,67.95%,Nippon India Low Duration Fund,Nippon India Mutual Fund,Open Ended,Low Duration Fund,Debt
Sovereign,,17.06%,Nippon India Low Duration Fund,Nippon India Mutual Fund,Open Ended,Low Duration Fund,Debt
Current Assets,,4.17%,Nippon India Low Duration Fund,Nippon India Mutual Fund,Open Ended,Low Duration Fund,Debt
"Oil, Gas & Consumable Fuels",,4.01%,Nippon India Low Duration Fund,Nippon India Mutual Fund,Open Ended,Low Duration Fund,Debt
Services,,2.85%,Nippon India Low Duration Fund,Nippon India Mutual Fund,Open Ended,Low Duration Fund,Debt
Mutual Funds,,29.67%,Nippon India Multi Asset Fund,Nippon India Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Financial Services,,21.03%,Nippon India Multi Asset Fund,Nippon India Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Sovereign,,7.50%,Nippon India Multi Asset Fund,Nippon India Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Automobile and Auto Components,,5.80%,Nippon India Multi Asset Fund,Nippon India Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
"Oil, Gas & Consumable Fuels",,4.90%,Nippon India Multi Asset Fund,Nippon India Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Financial Services,,30.43%,Nippon India Multi Cap Fund,Nippon India Mutual Fund,Open Ended,Multi Cap Fund,Equity
Consumer Services,,12.45%,Nippon India Multi Cap Fund,Nippon India Mutual Fund,Open Ended,Multi Cap Fund,Equity
Capital Goods,,10.65%,Nippon India Multi Cap Fund,Nippon India Mutual Fund,Open Ended,Multi Cap Fund,Equity
Healthcare,,7.83%,Nippon India Multi Cap Fund,Nippon India Mutual Fund,Open Ended,Multi Cap Fund,Equity
Automobile and Auto Components,,6.27%,Nippon India Multi Cap Fund,Nippon India Mutual Fund,Open Ended,Multi Cap Fund,Equity
Information Technology,,35.45%,Nippon India Nifty 50 Value 20 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,22.29%,Nippon India Nifty 50 Value 20 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,14.19%,Nippon India Nifty 50 Value 20 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Power,,7.69%,Nippon India Nifty 50 Value 20 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Metals & Mining,,6.10%,Nippon India Nifty 50 Value 20 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,21.77%,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Healthcare,,17.68%,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,17.44%,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,9.29%,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Construction Materials,,7.04%,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,93.31%,Nippon India Nifty Auto ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Capital Goods,,6.61%,Nippon India Nifty Auto ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,0.08%,Nippon India Nifty Auto ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Miscellaneous,,-,Nippon India Nifty Auto ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Sovereign,,98.39%,Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,1.44%,Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Miscellaneous,,0.16%,Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,95.76%,Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,4.15%,Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Miscellaneous,,0.08%,Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,99.13%,Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,0.87%,Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Miscellaneous,,-,Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,22.14%,Nippon India Nifty Midcap 150 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Capital Goods,,13.32%,Nippon India Nifty Midcap 150 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Healthcare,,10.87%,Nippon India Nifty Midcap 150 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,7.25%,Nippon India Nifty Midcap 150 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,6.86%,Nippon India Nifty Midcap 150 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Mutual Funds,,99.88%,Nippon India Nifty Next 50 Junior BeES FoF,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.11%,Nippon India Nifty Next 50 Junior BeES FoF,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,-,Nippon India Nifty Next 50 Junior BeES FoF,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Healthcare,,99.98%,Nippon India Nifty Pharma ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,0.02%,Nippon India Nifty Pharma ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Financial Services,,22.70%,Nippon India Nifty Smallcap 250 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Capital Goods,,15.48%,Nippon India Nifty Smallcap 250 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Healthcare,,9.71%,Nippon India Nifty Smallcap 250 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,6.73%,Nippon India Nifty Smallcap 250 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Chemicals,,5.54%,Nippon India Nifty Smallcap 250 Index Fund,Nippon India Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,98.05%,Nippon India Nivesh Lakshya Fund,Nippon India Mutual Fund,Open Ended,Long Duration Fund,Debt
Current Assets,,1.85%,Nippon India Nivesh Lakshya Fund,Nippon India Mutual Fund,Open Ended,Long Duration Fund,Debt
Mutual Funds,,0.10%,Nippon India Nivesh Lakshya Fund,Nippon India Mutual Fund,Open Ended,Long Duration Fund,Debt
Miscellaneous,,-,Nippon India Nivesh Lakshya Fund,Nippon India Mutual Fund,Open Ended,Long Duration Fund,Debt
Current Assets,,94.81%,Nippon India Overnight Fund,Nippon India Mutual Fund,Open Ended,Overnight Fund,Debt
Sovereign,,4.86%,Nippon India Overnight Fund,Nippon India Mutual Fund,Open Ended,Overnight Fund,Debt
Miscellaneous,,0.33%,Nippon India Overnight Fund,Nippon India Mutual Fund,Open Ended,Overnight Fund,Debt
Mutual Funds,,99.53%,Nippon India Passive Flexicap FoF,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.47%,Nippon India Passive Flexicap FoF,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,-,Nippon India Passive Flexicap FoF,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Healthcare,,94.97%,Nippon India Pharma Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Consumer Services,,3.57%,Nippon India Pharma Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Current Assets,,1.46%,Nippon India Pharma Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Miscellaneous,,-,Nippon India Pharma Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Capital Goods,,25.62%,Nippon India Power & Infra Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Power,,13.79%,Nippon India Power & Infra Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Construction,,12.28%,Nippon India Power & Infra Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
"Oil, Gas & Consumable Fuels",,10.34%,Nippon India Power & Infra Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Construction Materials,,8.02%,Nippon India Power & Infra Fund,Nippon India Mutual Fund,Open Ended,Sectoral,Equity
Financial Services,,33.53%,Nippon India Quant Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,10.28%,Nippon India Quant Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Fast Moving Consumer Goods,,9.31%,Nippon India Quant Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,9.06%,Nippon India Quant Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
"Oil, Gas & Consumable Fuels",,8.40%,Nippon India Quant Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Sovereign,,76.66%,Nippon India Retirement Fund - Income Generation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,6.93%,Nippon India Retirement Fund - Income Generation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Current Assets,,3.42%,Nippon India Retirement Fund - Income Generation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Information Technology,,2.55%,Nippon India Retirement Fund - Income Generation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
"Oil, Gas & Consumable Fuels",,2.20%,Nippon India Retirement Fund - Income Generation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,30.63%,Nippon India Retirement Fund - Wealth Creation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Information Technology,,9.36%,Nippon India Retirement Fund - Wealth Creation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Capital Goods,,8.59%,Nippon India Retirement Fund - Wealth Creation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
"Oil, Gas & Consumable Fuels",,8.13%,Nippon India Retirement Fund - Wealth Creation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Automobile and Auto Components,,6.75%,Nippon India Retirement Fund - Wealth Creation Scheme,Nippon India Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,42.89%,Nippon India Short Term Fund,Nippon India Mutual Fund,Open Ended,Short Duration Fund,Debt
Sovereign,,29.99%,Nippon India Short Term Fund,Nippon India Mutual Fund,Open Ended,Short Duration Fund,Debt
Current Assets,,12.04%,Nippon India Short Term Fund,Nippon India Mutual Fund,Open Ended,Short Duration Fund,Debt
Power,,7.06%,Nippon India Short Term Fund,Nippon India Mutual Fund,Open Ended,Short Duration Fund,Debt
Consumer Durables,,1.66%,Nippon India Short Term Fund,Nippon India Mutual Fund,Open Ended,Short Duration Fund,Debt
Mutual Funds,,99.84%,Nippon India Silver ETF Fund of Fund,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.16%,Nippon India Silver ETF Fund of Fund,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,-,Nippon India Silver ETF Fund of Fund,Nippon India Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,97.27%,Nippon India Silver ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,2.73%,Nippon India Silver ETF,Nippon India Mutual Fund,Open Ended,ETFs - Others,Other
Capital Goods,,21.04%,Nippon India Small Cap Fund,Nippon India Mutual Fund,Open Ended,Small cap Fund,Equity
Financial Services,,14.69%,Nippon India Small Cap Fund,Nippon India Mutual Fund,Open Ended,Small cap Fund,Equity
Healthcare,,7.60%,Nippon India Small Cap Fund,Nippon India Mutual Fund,Open Ended,Small cap Fund,Equity
Automobile and Auto Components,,6.80%,Nippon India Small Cap Fund,Nippon India Mutual Fund,Open Ended,Small cap Fund,Equity
Information Technology,,6.62%,Nippon India Small Cap Fund,Nippon India Mutual Fund,Open Ended,Small cap Fund,Equity
Sovereign,,33.99%,Nippon India Strategic Debt Fund,Nippon India Mutual Fund,Open Ended,Medium Duration Fund,Debt
Financial Services,,25.25%,Nippon India Strategic Debt Fund,Nippon India Mutual Fund,Open Ended,Medium Duration Fund,Debt
Telecommunication,,10.54%,Nippon India Strategic Debt Fund,Nippon India Mutual Fund,Open Ended,Medium Duration Fund,Debt
Current Assets,,9.06%,Nippon India Strategic Debt Fund,Nippon India Mutual Fund,Open Ended,Medium Duration Fund,Debt
Diversified,,4.12%,Nippon India Strategic Debt Fund,Nippon India Mutual Fund,Open Ended,Medium Duration Fund,Debt
Information Technology,,37.54%,Nippon India Taiwan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,32.96%,Nippon India Taiwan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Current Assets,,14.86%,Nippon India Taiwan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Telecommunication,,6.21%,Nippon India Taiwan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Services,,3.36%,Nippon India Taiwan Equity Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,73.97%,Nippon India Ultra Short Duration Fund,Nippon India Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Sovereign,,11.38%,Nippon India Ultra Short Duration Fund,Nippon India Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Services,,7.53%,Nippon India Ultra Short Duration Fund,Nippon India Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Power,,2.84%,Nippon India Ultra Short Duration Fund,Nippon India Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Chemicals,,1.82%,Nippon India Ultra Short Duration Fund,Nippon India Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Information Technology,,29.29%,Nippon India US Equity Opportunities Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,17.01%,Nippon India US Equity Opportunities Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Services,,16.18%,Nippon India US Equity Opportunities Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Healthcare,,15.23%,Nippon India US Equity Opportunities Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
Consumer Services,,6.30%,Nippon India US Equity Opportunities Fund,Nippon India Mutual Fund,Open Ended,Thematic,Equity
