Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund House,Type,Sub-Category,Category
Sovereign,,95.63%,Aditya Birla Sun Life Fixed Term Plan - Series UB,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Current Assets,,4.37%,Aditya Birla Sun Life Fixed Term Plan - Series UB,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Financial Services,,30.53%,Aditya Birla Sun Life Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Information Technology,,12.48%,Aditya Birla Sun Life Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Healthcare,,12.01%,Aditya Birla Sun Life Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Fast Moving Consumer Goods,,6.73%,Aditya Birla Sun Life Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Capital Goods,,4.81%,Aditya Birla Sun Life Flexi Cap Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Financial Services,,61.46%,Aditya Birla Sun Life Floating Rate Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Floater Fund,Debt
Sovereign,,23.94%,Aditya Birla Sun Life Floating Rate Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Floater Fund,Debt
Current Assets,,5.39%,Aditya Birla Sun Life Floating Rate Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Floater Fund,Debt
Realty,,3.88%,Aditya Birla Sun Life Floating Rate Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Floater Fund,Debt
Construction,,3.34%,Aditya Birla Sun Life Floating Rate Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Floater Fund,Debt
Financial Services,,35.52%,Aditya Birla Sun Life Focused Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Focused Fund,Equity
Information Technology,,12.43%,Aditya Birla Sun Life Focused Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Focused Fund,Equity
Automobile and Auto Components,,9.70%,Aditya Birla Sun Life Focused Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Focused Fund,Equity
Fast Moving Consumer Goods,,7.38%,Aditya Birla Sun Life Focused Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Focused Fund,Equity
Construction,,6.39%,Aditya Birla Sun Life Focused Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Focused Fund,Equity
Financial Services,,34.60%,Aditya Birla Sun Life Frontline Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large Cap Fund,Equity
Information Technology,,9.31%,Aditya Birla Sun Life Frontline Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large Cap Fund,Equity
Automobile and Auto Components,,8.25%,Aditya Birla Sun Life Frontline Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large Cap Fund,Equity
Fast Moving Consumer Goods,,7.54%,Aditya Birla Sun Life Frontline Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large Cap Fund,Equity
"Oil, Gas & Consumable Fuels",,6.43%,Aditya Birla Sun Life Frontline Equity Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large Cap Fund,Equity
Mutual Funds,,98.33%,Aditya Birla Sun Life Global Emerging Opportunities Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,1.67%,Aditya Birla Sun Life Global Emerging Opportunities Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Overseas,Other
Mutual Funds,,97.58%,Aditya Birla Sun Life Global Excellence Equity Fund of Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,2.42%,Aditya Birla Sun Life Global Excellence Equity Fund of Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Overseas,Other
Miscellaneous,,97.63%,Aditya Birla Sun Life Gold ETF,Aditya Birla Sun Life Mutual Fund,Open Ended,ETFs - Gold,Other
Current Assets,,2.37%,Aditya Birla Sun Life Gold ETF,Aditya Birla Sun Life Mutual Fund,Open Ended,ETFs - Gold,Other
Mutual Funds,,99.50%,Aditya Birla Sun Life Gold Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.50%,Aditya Birla Sun Life Gold Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Sovereign,,97.60%,Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Gilt Fund,Debt
Current Assets,,2.40%,Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Gilt Fund,Debt
