Sector Name,Dummy,Percentage Allocation,Fund Type
Current Assets,,4.84%,Multi Cap Fund
Financial Services,,26.96%,Multi Cap Fund
Automobile and Auto Components,,10.81%,Multi Cap Fund
Information Technology,,9.37%,Multi Cap Fund
Capital Goods,,8.98%,Multi Cap Fund
Current Assets,,5.48%,Multi Cap Fund
Financial Services,,28.54%,Multi Cap Fund
Capital Goods,,11.13%,Multi Cap Fund
Information Technology,,9.45%,Multi Cap Fund
Healthcare,,9.10%,Multi Cap Fund
Fast Moving Consumer Goods,,6.63%,Multi Cap Fund
Financial Services,,33.44%,Retirement Fund
Healthcare,,9.94%,Retirement Fund
Automobile and Auto Components,,9.08%,Retirement Fund
Fast Moving Consumer Goods,,7.69%,Retirement Fund
Information Technology,,6.29%,Retirement Fund
Financial Services,,26.85%,Retirement Fund
Sovereign,,12.70%,Retirement Fund
Healthcare,,9.53%,Retirement Fund
Current Assets,,9.14%,Retirement Fund
Automobile and Auto Components,,7.27%,Retirement Fund
Sovereign,,54.76%,Retirement Fund
Financial Services,,15.79%,Retirement Fund
Current Assets,,14.03%,Retirement Fund
Healthcare,,3.24%,Retirement Fund
Automobile and Auto Components,,2.01%,Retirement Fund
Sovereign,,72.73%,Retirement Fund
Financial Services,,13.69%,Retirement Fund
Telecommunication,,11.75%,Retirement Fund
Current Assets,,1.82%,Retirement Fund
Financial Services,,22.27%,Retirement Fund
Sovereign,,12.24%,Retirement Fund
Information Technology,,10.81%,Retirement Fund
Chemicals,,7.37%,Retirement Fund
Capital Goods,,6.14%,Retirement Fund
Sovereign,,28.03%,Retirement Fund
Financial Services,,26.94%,Retirement Fund
Information Technology,,9.61%,Retirement Fund
Automobile and Auto Components,,7.73%,Retirement Fund
Current Assets,,7.21%,Retirement Fund
Financial Services,,27.13%,Retirement Fund
Automobile and Auto Components,,8.98%,Retirement Fund
Information Technology,,8.48%,Retirement Fund
Healthcare,,8.39%,Retirement Fund
Consumer Services,,5.61%,Retirement Fund
Financial Services,,97.58%,Sectoral
Current Assets,,2.00%,Sectoral
Mutual Funds,,0.42%,Sectoral
Information Technology,,77.65%,Sectoral
Telecommunication,,7.44%,Sectoral
Consumer Services,,4.10%,Sectoral
Current Assets,,3.10%,Sectoral
Services,,2.59%,Sectoral
Capital Goods,,27.04%,Sectoral
Construction,,23.90%,Sectoral
Financial Services,,7.29%,Sectoral
Construction Materials,,6.68%,Sectoral
"Oil, Gas & Consumable Fuels",,5.57%,Sectoral
Healthcare,,93.02%,Sectoral
Current Assets,,4.41%,Sectoral
Financial Services,,1.28%,Sectoral
Consumer Services,,0.73%,Sectoral
Chemicals,,0.56%,Sectoral
Financial Services,,94.51%,Sectoral
Current Assets,,4.79%,Sectoral
Miscellaneous,,0.70%,Sectoral
Construction,,32.23%,Sectoral
Capital Goods,,23.36%,Sectoral
Construction Materials,,12.49%,Sectoral
Services,,8.77%,Sectoral
Power,,7.91%,Sectoral
Automobile and Auto Components,,71.31%,Sectoral
Services,,14.76%,Sectoral
Capital Goods,,6.57%,Sectoral
Consumer Services,,3.10%,Sectoral
Current Assets,,2.41%,Sectoral
Capital Goods,,17.38%,Sectoral
Automobile and Auto Components,,13.35%,Sectoral
Construction,,11.16%,Sectoral
"Oil, Gas & Consumable Fuels",,9.75%,Sectoral
Realty,,7.16%,Sectoral
Financial Services,,97.31%,Sectoral
Current Assets,,2.22%,Sectoral
Information Technology,,1.04%,Sectoral
Sovereign,,0.44%,Sectoral
Miscellaneous,,-1.01%,Sectoral
Capital Goods,,17.94%,Small cap Fund
Financial Services,,16.34%,Small cap Fund
Information Technology,,8.66%,Small cap Fund
Automobile and Auto Components,,7.54%,Small cap Fund
Consumer Durables,,6.92%,Small cap Fund
Financial Services,,14.17%,Small cap Fund
Healthcare,,12.57%,Small cap Fund
Capital Goods,,11.62%,Small cap Fund
Automobile and Auto Components,,10.55%,Small cap Fund
Information Technology,,9.80%,Small cap Fund
Financial Services,,22.96%,Small cap Fund
Capital Goods,,12.32%,Small cap Fund
Current Assets,,8.32%,Small cap Fund
Healthcare,,7.26%,Small cap Fund
Automobile and Auto Components,,5.92%,Small cap Fund
Financial Services,,20.97%,Small cap Fund
Capital Goods,,20.30%,Small cap Fund
Healthcare,,10.12%,Small cap Fund
Fast Moving Consumer Goods,,9.34%,Small cap Fund
Automobile and Auto Components,,8.92%,Small cap Fund
Financial Services,,26.39%,Thematic
Capital Goods,,18.84%,Thematic
Healthcare,,9.55%,Thematic
Automobile and Auto Components,,9.11%,Thematic
Information Technology,,8.82%,Thematic
Financial Services,,24.99%,Thematic
Information Technology,,10.23%,Thematic
Healthcare,,7.66%,Thematic
Capital Goods,,7.46%,Thematic
Fast Moving Consumer Goods,,6.79%,Thematic
Financial Services,,29.94%,Thematic
Information Technology,,24.13%,Thematic
Automobile and Auto Components,,13.14%,Thematic
Consumer Durables,,9.72%,Thematic
Capital Goods,,5.30%,Thematic
Fast Moving Consumer Goods,,27.71%,Thematic
Financial Services,,21.89%,Thematic
Automobile and Auto Components,,11.66%,Thematic
Consumer Services,,11.47%,Thematic
Consumer Durables,,8.40%,Thematic
Financial Services,,24.42%,Thematic
Fast Moving Consumer Goods,,16.84%,Thematic
Capital Goods,,15.15%,Thematic
Healthcare,,14.67%,Thematic
Information Technology,,9.27%,Thematic
Capital Goods,,24.65%,Thematic
Fast Moving Consumer Goods,,15.80%,Thematic
Metals & Mining,,11.32%,Thematic
Automobile and Auto Components,,10.95%,Thematic
Consumer Durables,,9.93%,Thematic
Fast Moving Consumer Goods,,18.85%,Thematic
Healthcare,,16.15%,Thematic
Capital Goods,,15.07%,Thematic
Automobile and Auto Components,,13.20%,Thematic
Financial Services,,10.07%,Thematic
Financial Services,,30.97%,Thematic
"Oil, Gas & Consumable Fuels",,23.00%,Thematic
Power,,14.28%,Thematic
Capital Goods,,10.08%,Thematic
Current Assets,,8.85%,Thematic
Financial Services,,27.89%,Thematic
Information Technology,,11.75%,Thematic
Automobile and Auto Components,,9.72%,Thematic
Healthcare,,8.35%,Thematic
Fast Moving Consumer Goods,,6.43%,Thematic
Automobile and Auto Components,,64.69%,Thematic
Services,,10.93%,Thematic
Current Assets,,9.96%,Thematic
Consumer Services,,6.61%,Thematic
Information Technology,,2.93%,Thematic
Financial Services,,19.36%,Thematic
Automobile and Auto Components,,12.22%,Thematic
Information Technology,,10.63%,Thematic
Capital Goods,,9.46%,Thematic
"Oil, Gas & Consumable Fuels",,7.28%,Thematic
Information Technology,,22.67%,Thematic
Financial Services,,20.90%,Thematic
Consumer Services,,11.22%,Thematic
Automobile and Auto Components,,10.22%,Thematic
Fast Moving Consumer Goods,,6.79%,Thematic
Financial Services,,25.63%,Value Fund
Information Technology,,11.67%,Value Fund
Capital Goods,,11.04%,Value Fund
Automobile and Auto Components,,7.26%,Value Fund
Healthcare,,6.59%,Value Fund
Financial Services,,23.27%,Value Fund
Automobile and Auto Components,,11.19%,Value Fund
Information Technology,,10.80%,Value Fund
Healthcare,,9.08%,Value Fund
Capital Goods,,7.75%,Value Fund
Financial Services,,27.16%,Value Fund
Automobile and Auto Components,,9.00%,Value Fund
Healthcare,,7.87%,Value Fund
Fast Moving Consumer Goods,,7.80%,Value Fund
Information Technology,,7.70%,Value Fund
Financial Services,,27.80%,Value Fund
"Oil, Gas & Consumable Fuels",,13.55%,Value Fund
Information Technology,,11.11%,Value Fund
Healthcare,,9.76%,Value Fund
Power,,9.34%,Value Fund
Financial Services,,32.36%,Value Fund
Information Technology,,9.40%,Value Fund
Healthcare,,8.64%,Value Fund
Fast Moving Consumer Goods,,8.17%,Value Fund
Capital Goods,,7.62%,Value Fund
Mutual Funds,,18.22%,Value Fund
Healthcare,,12.70%,Value Fund
Miscellaneous,,10.81%,Value Fund
Information Technology,,7.90%,Value Fund
Automobile and Auto Components,,7.17%,Value Fund
Financial Services,,37.70%,Value Fund
Information Technology,,13.21%,Value Fund
Automobile and Auto Components,,13.03%,Value Fund
Power,,8.10%,Value Fund
Construction,,6.81%,Value Fund
Financial Services,,34.03%,Value Fund
Information Technology,,10.87%,Value Fund
Fast Moving Consumer Goods,,7.26%,Value Fund
Healthcare,,6.88%,Value Fund
Capital Goods,,5.98%,Value Fund
Financial Services,,26.88%,Value Fund
Capital Goods,,12.09%,Value Fund
Information Technology,,10.05%,Value Fund
Construction,,6.18%,Value Fund
Automobile and Auto Components,,5.90%,Value Fund
Financial Services,,24.51%,Value Fund
"Oil, Gas & Consumable Fuels",,14.62%,Value Fund
Healthcare,,12.14%,Value Fund
Telecommunication,,8.92%,Value Fund
Information Technology,,7.59%,Value Fund
Financial Services,,25.41%,Value Fund
"Oil, Gas & Consumable Fuels",,7.15%,Value Fund
Capital Goods,,6.70%,Value Fund
Power,,6.52%,Value Fund
Information Technology,,6.25%,Value Fund
Financial Services,,21.95%,Value Fund
Capital Goods,,9.14%,Value Fund
Automobile and Auto Components,,7.10%,Value Fund
Information Technology,,5.93%,Value Fund
Fast Moving Consumer Goods,,5.72%,Value Fund
Financial Services,,35.79%,Value Fund
Information Technology,,11.95%,Value Fund
Fast Moving Consumer Goods,,7.66%,Value Fund
"Oil, Gas & Consumable Fuels",,6.59%,Value Fund
Automobile and Auto Components,,5.53%,Value Fund
